"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4308,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4114,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2533,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9883,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2251,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3931,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3421,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7516,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.90981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.51096,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.60281,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.98525,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2635,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3349,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2563,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1719,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.1022,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.0286,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.96299,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.87645,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.76481,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.73524,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.68313,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.61144,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.53795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.42199,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.23796,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.09127,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.9676,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.8796,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.99057,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.4126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0956,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5502,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.614,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.4317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2462,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.1082,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.1163,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2522,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5826,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.0759,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.3952,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4201,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.2168,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0134,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8235,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6496,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.5279,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.4126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.2976,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.3314,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.6425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.1611,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.4519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.3561,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.9894,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.6936,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.5333,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.4474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.4084,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.3643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.2773,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.1675,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",100.0557,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.92768,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.84613,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.78902,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.73102,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.70061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.69321,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.70152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.72298,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.7514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.75561,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.65089,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.29489,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",98.7372,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.2855,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",97.90394,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",97.51984,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",97.26038,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",97.11205,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",97.03523,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",96.96755,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",96.90073,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",96.80336,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",96.68764,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",96.56196,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",96.40154,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",96.27422,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",96.21104,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",96.18858,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",96.19215,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",96.23824,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",96.37103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",96.47125,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",96.55829,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-10",96.68988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-11",96.73017,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-12",96.65292,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-01",96.50117,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-02",96.46452,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-03",96.59612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-04",96.84929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-05",96.94595,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-06",96.84805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1982-07",96.66087,
