,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.583,9485.863
1992 - Feb,6356.697,9527.954
1992 - Mar,6417.025,9606.158
1992 - Apr,6443.138,9612.297
1992 - May,6433.851,9594.432
1992 - Jun,6535.301,9723.52
1992 - Jul,6557.138,9739.967
1992 - Aug,6556.882,9721.123
1992 - Sep,6585.902,9755.066
1992 - Oct,6637.431,9809.857
1992 - Nov,6680.184,9837.377
1992 - Dec,6724.794,9873.494
1993 - Jan,6717.86,9858.661
1993 - Feb,6741.575,9874.125
1993 - Mar,6728.941,9837.215
1993 - Apr,6768.249,9876.023
1993 - May,6824.28,9934.598
1993 - Jun,6834.289,9931.469
1993 - Jul,6832.715,9909.457
1993 - Aug,6873.889,9948.965
1993 - Sep,6939.69,10025.581
1993 - Oct,6944.336,10022.321
1993 - Nov,7036.028,10120.844
1993 - Dec,7060.85,10147.332
1994 - Jan,7074.427,10145.936
1994 - Feb,7122.916,10202.352
1994 - Mar,7149.613,10236.133
1994 - Apr,7186.362,10270.652
1994 - May,7290.309,10369.58
1994 - Jun,7264.122,10358.6
1994 - Jul,7298.94,10361.326
1994 - Aug,7351.716,10432.076
1994 - Sep,7342.569,10386.811
1994 - Oct,7429.36,10482.135
1994 - Nov,7431.624,10475.411
1994 - Dec,7504.88,10580.183
1995 - Jan,7542.279,10582.937
1995 - Feb,7488.317,10506.357
1995 - Mar,7536.271,10560.603
1995 - Apr,7538.778,10528.122
1995 - May,7560.821,10557.751
1995 - Jun,7643.392,10658.872
1995 - Jul,7630.697,10606.068
1995 - Aug,7674.161,10664.058
1995 - Sep,7744.517,10744.803
1995 - Oct,7747.211,10698.674
1995 - Nov,7747.7,10717.283
1995 - Dec,7822.847,10816.91
1996 - Jan,7840.234,10794.323
1996 - Feb,7852.914,10811.248
1996 - Mar,7912.256,10869.432
1996 - Apr,8025.386,11013.431
1996 - May,8009.268,10976.717
1996 - Jun,8063.866,11026.474
1996 - Jul,8099.322,11067.498
1996 - Aug,8122.994,11099.928
1996 - Sep,8171.908,11144.856
1996 - Oct,8250.869,11219.243
1996 - Nov,8281.94,11241.479
1996 - Dec,8246.504,11197.393
1997 - Jan,8309.204,11263.689
1997 - Feb,8385.5,11343.168
1997 - Mar,8393.261,11268.504
1997 - Apr,8511.847,11518.87
1997 - May,8476.278,11409.234
1997 - Jun,8568.35,11510.226
1997 - Jul,8620.549,11602.488
1997 - Aug,8655.667,11632.502
1997 - Sep,8712.253,11634.07
1997 - Oct,8748.033,11708.572
1997 - Nov,8736.478,11684.442
1997 - Dec,8813.21,11775.424
1998 - Jan,8772.655,11713.439
1998 - Feb,8894.408,11886.22
1998 - Mar,8932.376,11920.159
1998 - Apr,8925.556,11894.973
1998 - May,8953.3,11925.668
1998 - Jun,9030.241,12027.856
1998 - Jul,9050.012,12003.215
1998 - Aug,9100.504,12065.633
1998 - Sep,9212.776,12228.473
1998 - Oct,9266.849,12270.896
1998 - Nov,9307.406,12320.748
1998 - Dec,9307.717,12292.273
1999 - Jan,9357.208,12325.661
1999 - Feb,9410.98,12419.511
1999 - Mar,9466.858,12486.933
1999 - Apr,9496.761,12486.411
1999 - May,9534.524,12526.151
1999 - Jun,9547.345,12530.55
1999 - Jul,9660.842,12642.781
1999 - Aug,9660.706,12677.004
1999 - Sep,9738.33,12719.929
1999 - Oct,9813.941,12781.211
1999 - Nov,9891.397,12873.594
1999 - Dec,9995.169,13009.412
2000 - Jan,9921.307,12870.361
2000 - Feb,9999.879,12934.438
2000 - Mar,10085.351,13000.513
2000 - Apr,10226.17,13173.16
2000 - May,10228.88,13149.111
2000 - Jun,10288.109,13189.36
2000 - Jul,10235.492,13103.058
2000 - Aug,10335.748,13207.408
2000 - Sep,10383.255,13240.344
2000 - Oct,10424.958,13265.289
2000 - Nov,10447.156,13266.45
2000 - Dec,10435.117,13254.758
2001 - Jan,10466.338,13246.048
2001 - Feb,10463.297,13220.24
2001 - Mar,10481.058,13191.624
2001 - Apr,10565.238,13291.422
2001 - May,10640.345,13352.726
2001 - Jun,10591.417,13260.287
2001 - Jul,10585.84,13219.185
2001 - Aug,10699.018,13371.431
2001 - Sep,10509.203,13153.976
2001 - Oct,10638.837,13264.105
2001 - Nov,10587.365,13195.566
2001 - Dec,10755.194,13395.464
2002 - Jan,10787.302,13430.535
2002 - Feb,10748.432,13344.511
2002 - Mar,10814.765,13410.251
2002 - Apr,10859.001,13462.222
2002 - May,10870.08,13459.172
2002 - Jun,10933.299,13511.233
2002 - Jul,11001.682,13582.015
2002 - Aug,10952.394,13503.773
2002 - Sep,10998.044,13509.779
2002 - Oct,10998.804,13496.409
2002 - Nov,11052.961,13534.078
2002 - Dec,11132.535,13617.905
2003 - Jan,11136.089,13593.505
2003 - Feb,11210.737,13662.453
2003 - Mar,11175.562,13602.75
2003 - Apr,11257.069,13674.018
2003 - May,11275.394,13689.641
2003 - Jun,11405.836,13860.474
2003 - Jul,11468.101,13894.612
2003 - Aug,11567.619,13968.412
2003 - Sep,11664.288,14048.322
2003 - Oct,11699.754,14064.96
2003 - Nov,11785.69,14146.152
2003 - Dec,11831.258,14183.812
2004 - Jan,11806.028,14099.583
2004 - Feb,11926.73,14225.212
2004 - Mar,12037.584,14312.946
2004 - Apr,12035.866,14267.517
2004 - May,12175.78,14399.094
2004 - Jun,12126.799,14303.241
2004 - Jul,12279.484,14427.466
2004 - Aug,12300.037,14464.771
2004 - Sep,12336.4,14482.071
2004 - Oct,12471.774,14581.755
2004 - Nov,12514.711,14590.404
2004 - Dec,12595.157,14645.433
2005 - Jan,12748.677,14775.732
2005 - Feb,12750.986,14750.97
2005 - Mar,12802.195,14777.68
2005 - Apr,12859.19,14812.083
2005 - May,12881.924,14777.603
2005 - Jun,13026.854,14930.161
2005 - Jul,13095.933,14945.082
2005 - Aug,13153.078,14981.794
2005 - Sep,13178.915,14942.76
2005 - Oct,13236.014,14964.054
2005 - Nov,13299.152,14996.761
2005 - Dec,13437.446,15163.578
2006 - Jan,13517.678,15213.175
2006 - Feb,13568.579,15196.231
2006 - Mar,13711.223,15323.437
2006 - Apr,13695.003,15240.486
2006 - May,13782.849,15312.996
2006 - Jun,13782.42,15291.73
2006 - Jul,13791.729,15244.752
2006 - Aug,13884.41,15303.67
2006 - Sep,13934.425,15365.879
2006 - Oct,13966.317,15367.638
2006 - Nov,14059.45,15475.664
2006 - Dec,14092.913,15458.386
2007 - Jan,14134.826,15443.983
2007 - Feb,14286.398,15546.526
2007 - Mar,14225.729,15447.025
2007 - Apr,14363.15,15575.939
2007 - May,14400.871,15569.886
2007 - Jun,14442.225,15588.004
2007 - Jul,14423.368,15537.687
2007 - Aug,14601.637,15723.091
2007 - Sep,14667.346,15754.45
2007 - Oct,14664.564,15733.452
2007 - Nov,14714.896,15759.36
2007 - Dec,14765.714,15809.059
2008 - Jan,14802.166,15843.064
